Transaction_ID,Transaction_Date,Transaction_Hour,Customer_ID,Merchant_ID,Merchant_Name,Merchant_Category,City,Payment_Method,Bank_Name,Device_Type,Amount,Transaction_Status,Failure_Reason,Gateway_Response_Time_ms,Refund_Flag,Chargeback_Flag,Revenue_Fee,Settlement_Days,Is_High_Value,Risk_Score
TXN0000001,2026-05-12,15,CUST29350,MER010023,Snackzy,Food & Delivery,Bengaluru,UPI,Kotak Mahindra Bank,Android,501.28,Failed,UPI Limit Exceeded,3647,0,0,0.0,,0,38
TXN0000002,2026-05-20,18,CUST32877,MER080041,StyleStreet,Retail,Hyderabad,Debit Card,Bank of Baroda,Android,1177.69,Success,,1281,0,0,11.78,1.0,0,43
TXN0000003,2025-07-25,11,CUST37178,MER020076,Trendora,E-commerce,Kochi,Debit Card,Yes Bank,iOS,5159.52,Success,,979,0,0,51.6,3.0,0,32
TXN0000004,2025-06-30,19,CUST16866,MER020091,MegaMart,E-commerce,Chennai,Net Banking,Bank of Baroda,Android,2658.06,Success,,758,0,0,31.9,1.0,0,36
TXN0000005,2025-07-29,16,CUST36929,MER080059,StyleStreet,Retail,Mumbai,Wallet,IDFC First Bank,Android,589.45,Success,,1027,0,0,8.25,2.0,0,34
TXN0000006,2025-11-04,7,CUST34479,MER080068,ValueMart,Retail,Bengaluru,Net Banking,Yes Bank,Android,3619.62,Success,,958,0,0,43.44,1.0,0,30
TXN0000007,2025-03-27,4,CUST27339,MER010120,DailyDine,Food & Delivery,Delhi,UPI,SBI,Web,307.13,Success,,711,0,0,0.77,2.0,0,55
TXN0000008,2025-09-22,5,CUST34968,MER070129,ArcadePay,Gaming,Bengaluru,UPI,Bank of Baroda,Android,937.88,Success,,576,0,0,2.34,2.0,0,28
TXN0000009,2026-02-16,22,CUST11899,MER090062,RechargePro,Utilities,Bengaluru,Net Banking,IndusInd Bank,Android,293.98,Success,,1050,0,0,3.53,1.0,0,58
TXN0000010,2026-05-28,10,CUST34749,MER050139,CarePoint,Healthcare,Hyderabad,UPI,IDFC First Bank,Android,1892.48,Success,,1635,0,0,4.73,1.0,0,18
